mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Jaraguá do Sul,Ilha da Figueira,casa,venda,5434.1,4169.5,6666.7,121,6.49,agosto/2026
2026-08,Jaraguá do Sul,Ilha da Figueira,casa,aluguel,29.4,24.9,32.9,20,6.49,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 84,casa,venda,4961.8,4099.9,5909.4,32,,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 99,casa,venda,5333.3,4606.6,6144.2,105,6.91,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá 99,casa,aluguel,30.7,23.3,36.7,9,6.91,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,casa,venda,6506.5,4976.0,7943.4,118,6.18,agosto/2026
2026-08,Jaraguá do Sul,Jaraguá Esquerdo,casa,aluguel,33.5,22.8,44.3,10,6.18,agosto/2026
2026-08,Jaraguá do Sul,João Pessoa,casa,venda,5292.9,4382.7,5920.4,80,,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,casa,venda,5401.8,4581.5,6487.3,68,9.53,agosto/2026
2026-08,Jaraguá do Sul,Nereu Ramos,casa,aluguel,42.9,27.8,45.7,5,9.53,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,casa,venda,6923.1,5278.1,9555.6,41,4.91,agosto/2026
2026-08,Jaraguá do Sul,Nova Brasília,casa,aluguel,28.3,20.8,34.4,10,4.91,agosto/2026
2026-08,Jaraguá do Sul,Rau,casa,venda,5035.3,3828.9,6361.8,83,7.15,agosto/2026
2026-08,Jaraguá do Sul,Rau,casa,aluguel,30.0,22.3,35.9,7,7.15,agosto/2026
2026-08,Jaraguá do Sul,Ribeirão Cavalo,casa,venda,5339.8,4171.4,6087.4,17,6.25,agosto/2026
2026-08,Jaraguá do Sul,Ribeirão Cavalo,casa,aluguel,27.8,25.3,34.2,12,6.25,agosto/2026
2026-08,Jaraguá do Sul,Rio Cerro I,casa,venda,5593.2,4938.4,6326.8,11,,agosto/2026
2026-08,Jaraguá do Sul,Rio Cerro II,casa,venda,5042.8,4501.0,6407.1,6,,agosto/2026
2026-08,Jaraguá do Sul,Rio da Luz,casa,venda,5405.4,4696.7,6569.2,27,,agosto/2026
2026-08,Jaraguá do Sul,Santa Luzia,casa,venda,4335.9,2536.7,6097.9,22,,agosto/2026
